City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
261,Fort Nelson,CA,2022-04-26 16:04:09,58.8053,-122.7002,32.63,100,100,4.32
262,Geraldton,AU,2022-04-26 16:04:09,-28.7667,114.6,64.81,72,100,24.16
263,Andapa,MG,2022-04-26 16:04:10,-14.65,49.65,66.76,96,77,1.21
264,Lagoa,PT,2022-04-26 16:04:10,39.05,-27.9833,61.36,80,100,15.82
265,Am Timan,TD,2022-04-26 16:04:11,11.0297,20.2827,100.29,20,100,2.35
266,Russell,US,2022-04-26 16:04:11,32.3502,-85.1999,77.13,69,20,12.66
267,Leh,IN,2022-04-26 16:04:11,34.1667,77.5833,44.78,37,22,5.32
268,San Patricio,US,2022-04-26 16:04:12,28.017,-97.5169,71.89,70,100,15.88
269,Nanyuki,KE,2022-04-26 16:04:12,0.0167,37.0728,61.39,86,96,3.18
270,Meiktila,MM,2022-04-26 16:04:13,20.8667,95.8667,92.52,33,31,6.73
271,Antofagasta,CL,2022-04-26 16:02:34,-23.65,-70.4,66.42,71,100,7.18
272,Moron,AR,2022-04-26 16:04:27,-34.6534,-58.6198,73.02,89,99,10.02
273,Sovetskiy,RU,2022-04-26 16:04:28,61.3614,63.5842,45.16,92,99,12.33
274,Mega,ET,2022-04-26 16:04:28,4.05,38.3,61.59,83,76,6.6
275,Uige,AO,2022-04-26 16:04:29,-7.6087,15.0613,72.64,85,81,2.66
276,Sao Filipe,CV,2022-04-26 16:04:29,14.8961,-24.4956,76.17,67,38,11.63
277,Nipawin,CA,2022-04-26 16:01:06,53.3668,-104.0009,26.26,76,13,10.67
278,Dali,CN,2022-04-26 16:04:29,25.7,100.1833,59.95,47,0,6.13
279,Cabedelo,BR,2022-04-26 16:04:30,-6.9811,-34.8339,86.67,70,42,16.71
280,Yar-Sale,RU,2022-04-26 16:04:30,66.8333,70.8333,31.21,89,81,16.67
281,Labuan,MY,2022-04-26 16:04:31,5.2767,115.2417,82.47,72,95,4.12
282,Inta,RU,2022-04-26 16:04:31,66.0317,60.1659,37.69,86,100,16.55
283,Muli,MV,2022-04-26 16:04:32,2.9167,73.5667,85.23,68,13,5.32
284,Baykit,RU,2022-04-26 16:04:32,61.67,96.37,22.78,94,44,4.68
285,Alofi,NU,2022-04-26 16:04:32,-19.0595,-169.9187,72.52,91,100,7.38
286,Abu Samrah,SY,2022-04-26 16:04:33,35.3029,37.1841,78.6,29,8,15.05
287,Lavrentiya,RU,2022-04-26 16:04:33,65.5833,-171.0,21.13,88,99,4.14
288,Yerofey Pavlovich,RU,2022-04-26 16:04:34,53.9667,121.9667,26.13,58,71,4.52
289,Kutum,SD,2022-04-26 16:04:34,14.2,24.6667,92.08,8,83,9.57
290,Sulangan,PH,2022-04-26 16:04:35,11.1373,123.7228,82.0,79,100,12.82
291,Nemuro,JP,2022-04-26 16:04:35,43.3236,145.575,42.75,100,100,12.77
292,Smithers,CA,2022-04-26 16:04:35,54.7804,-127.1743,41.11,69,47,2.19
