City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Kismayo,SO,-0.3582,42.5454,80.22,86,86,10.71,light rain
328,Kavieng,PG,-2.5744,150.7967,82.74,75,66,16.91,broken clouds
329,Podporozhye,RU,60.9112,34.1706,50.11,91,84,10.09,moderate rain
330,Marquard,ZA,-28.6645,27.4305,54.12,46,72,4.68,broken clouds
331,Verkhnyaya Inta,RU,65.9811,60.3094,38.41,96,100,11.25,overcast clouds
332,Buy,RU,58.4786,41.53,47.66,77,34,9.78,scattered clouds
333,Chia,CO,4.8588,-74.0587,57.11,93,100,2.17,overcast clouds
334,College Place,US,46.0493,-118.3883,60.01,62,75,24.16,broken clouds
335,Hasaki,JP,35.7333,140.8333,61.29,67,63,22.86,broken clouds
336,Lingao,CN,19.9103,109.6859,74.48,93,100,9.42,overcast clouds
337,Moche,PE,-8.1711,-79.0092,66.38,77,55,12.66,fog
338,Ipixuna,BR,-1.7625,-48.8043,76.62,96,96,4.07,very heavy rain
339,Bouar,CF,5.934,15.596,68.86,75,75,1.5,broken clouds
340,Hai Duong,VN,20.9333,106.3167,77.0,96,96,7.02,overcast clouds
341,Laguna,US,38.421,-121.4238,74.05,37,0,4.0,clear sky
342,Oshnaviyeh,IR,37.0397,45.0983,42.15,78,42,7.2,scattered clouds
343,Lompoc,US,34.6391,-120.4579,76.69,64,0,26.46,clear sky
344,Alexandria,EG,31.2156,29.9553,64.36,59,0,3.44,clear sky
345,Goma,CD,-1.6792,29.2228,62.62,91,100,2.53,overcast clouds
